Term,Similarity,Interpretation
surveillance,0.2426259519813958,Not similar (likely significant semantic shift)
bailout was not observed in one of the corpora - similarity measurement is not possible.
transparency,0.3118536215582802,Not similar (likely significant semantic shift)
lobbying,0.10372113022266641,Not similar (likely significant semantic shift)
precedent,0.18179406755405247,Not similar (likely significant semantic shift)
subpoena was not observed in one of the corpora - similarity measurement is not possible.
impeachment,0.0,Not similar (likely significant semantic shift)
asylum,0.27519146367597574,Not similar (likely significant semantic shift)
veto,0.17195023452913677,Not similar (likely significant semantic shift)
constitution,0.24257529712803627,Not similar (likely significant semantic shift)
