surveillance,0.11056043,Not similar (likely significant semantic shift)
bailout,Could not compute similarity,Term did not occur in one of the corpora
transparency,0.079874806,Not similar (likely significant semantic shift)
lobbying,0.05910704,Not similar (likely significant semantic shift)
precedent,0.08720537,Not similar (likely significant semantic shift)
subpoena,Could not compute similarity,Term did not occur in one of the corpora
impeachment,Could not compute similarity,Term did not occur in one of the corpora
asylum,-0.00854777,Not similar (likely significant semantic shift)
veto,0.13132712,Not similar (likely significant semantic shift)
constitution,0.0777869,Not similar (likely significant semantic shift)
